sample,time_s,voltage_v,pwm_state
0,0.0,0.40857142210006714,0
1,5e-06,0.38842490315437317,0
2,1e-05,0.3916483521461487,0
3,1.5e-05,0.37714284658432007,0
4,2e-05,0.3827838897705078,0
5,2.5e-05,0.4021245241165161,0
6,3e-05,0.3602197766304016,0
7,3.5e-05,0.38842490315437317,0
8,4e-05,0.3731135427951813,0
9,4.5e-05,0.39245420694351196,0
10,5e-05,0.38520145416259766,0
11,5.5e-05,0.3908424973487854,0
12,6e-05,0.38842490315437317,0
13,6.5e-05,0.3731135427951813,0
14,7e-05,0.41179487109184265,0
15,7.5e-05,0.3827838897705078,0
16,8e-05,0.3763369917869568,0
17,8.5e-05,0.40051281452178955,0
18,9e-05,0.3795604407787323,0
19,9.5e-05,0.3827838897705078,0
20,0.0001,0.40051281452178955,0
21,0.000105,0.3682783842086792,0
22,0.00011,0.39728936553001404,0
23,0.000115,0.3827838897705078,0
24,0.00012,0.3948718011379242,0
25,0.000125,0.38197800517082214,0
26,0.00013,0.40857142210006714,0
27,0.000135,0.3690842390060425,0
28,0.00014,0.3916483521461487,0
29,0.000145,0.40454211831092834,0
30,0.00015,0.38842490315437317,0
31,0.000155,0.38197800517082214,0
32,0.00016,0.38520145416259766,0
33,0.000165,0.37794870138168335,0
34,0.00017,0.3715018332004547,0
35,0.000175,0.3956776559352875,0
36,0.00018,0.3916483521461487,0
37,0.000185,0.38520145416259766,0
38,0.00019,0.38520145416259766,0
39,0.000195,0.37714284658432007,0
40,0.0002,0.37391939759254456,0
41,0.000205,0.3980952203273773,0
42,0.00021,0.3916483521461487,0
43,0.000215,0.3755311369895935,0
44,0.00022,0.3948718011379242,0
45,0.000225,0.3980952203273773,0
46,0.00023,0.37391939759254456,0
47,0.000235,0.3980952203273773,0
48,0.00024,0.3868131935596466,0
49,0.000245,0.39245420694351196,0
50,0.00025,0.38923075795173645,0
51,0.000255,0.3827838897705078,0
52,0.00026,0.38923075795173645,0
53,0.000265,0.3948718011379242,0
54,0.00027,0.3980952203273773,0
55,0.000275,0.39245420694351196,0
56,0.00028,0.3980952203273773,0
57,0.000285,0.38600730895996094,0
58,0.00029,0.3916483521461487,0
59,0.000295,0.39245420694351196,0
60,0.0003,0.3868131935596466,0
61,0.000305,0.398901104927063,0
62,0.00031,0.39728936553001404,0
63,0.000315,0.3876190483570099,0
64,0.00032,0.40051281452178955,0
65,0.000325,0.3578021824359894,0
66,0.00033,0.3876190483570099,0
67,0.000335,0.38197800517082214,0
68,0.00034,0.3980952203273773,0
69,0.000345,0.3763369917869568,0
70,0.00035,0.3876190483570099,0
71,0.000355,0.3763369917869568,0
72,0.00036,0.39970695972442627,0
73,0.000365,0.3755311369895935,0
74,0.00037,0.3690842390060425,0
75,0.000375,0.40373626351356506,0
76,0.00038,0.3795604407787323,0
77,0.000385,0.3835897445678711,0
78,0.00039,0.3868131935596466,0
79,0.000395,0.38923075795173645,0
80,0.0004,0.3876190483570099,0
81,0.000405,0.36263737082481384,0
82,0.00041,0.3843955993652344,0
83,0.000415,0.39970695972442627,0
84,0.00042,0.3803662955760956,0
85,0.000425,0.3610256314277649,0
86,0.00043,0.37794870138168335,0
87,0.000435,0.39970695972442627,0
88,0.00044,0.41098901629447937,0
89,0.000445,0.4053479731082916,0
90,0.00045,0.3940659165382385,0
91,0.000455,0.3610256314277649,0
92,0.00046,0.37391939759254456,0
93,0.000465,0.3908424973487854,0
94,0.00047,0.3940659165382385,0
95,0.000475,0.38520145416259766,0
96,0.00048,0.38197800517082214,0
97,0.000485,0.3731135427951813,0
98,0.00049,0.3731135427951813,0
99,0.000495,0.3827838897705078,0
100,0.0005,0.3795604407787323,0
101,0.000505,0.3948718011379242,0
102,0.00051,0.3916483521461487,0
103,0.000515,0.3956776559352875,0
104,0.00052,0.4254944920539856,0
105,0.000525,0.3755311369895935,0
106,0.00053,0.3908424973487854,0
107,0.000535,0.38117215037345886,0
108,0.00054,0.3715018332004547,0
109,0.000545,0.3940659165382385,0
110,0.00055,0.3956776559352875,0
111,0.000555,0.39970695972442627,0
112,0.00056,0.378754585981369,0
113,0.000565,0.3602197766304016,0
114,0.00057,0.37391939759254456,0
115,0.000575,0.3795604407787323,0
116,0.00058,0.372307687997818,0
117,0.000585,0.38197800517082214,0
118,0.00059,0.3755311369895935,0
119,0.000595,0.3610256314277649,0
120,0.0006,0.39970695972442627,0
121,0.000605,0.3956776559352875,0
122,0.00061,0.3795604407787323,0
123,0.000615,0.39970695972442627,0
124,0.00062,0.36989009380340576,0
125,0.000625,0.4029304087162018,0
126,0.00063,0.3868131935596466,0
127,0.000635,0.3916483521461487,0
128,0.00064,0.37794870138168335,0
129,0.000645,0.3843955993652344,0
130,0.00065,0.40131866931915283,0
131,0.000655,0.3795604407787323,0
132,0.00066,0.3916483521461487,0
133,0.000665,0.3731135427951813,0
134,0.00067,0.4053479731082916,0
135,0.000675,0.3747252821922302,0
136,0.00068,0.4053479731082916,0
137,0.000685,0.3763369917869568,0
138,0.00069,0.3827838897705078,0
139,0.000695,0.38600730895996094,0
140,0.0007,0.3868131935596466,0
141,0.000705,0.3634432256221771,0
142,0.00071,0.39648351073265076,0
143,0.000715,0.3682783842086792,0
144,0.00072,0.3763369917869568,0
145,0.000725,0.38923075795173645,0
146,0.00073,0.3610256314277649,0
147,0.000735,0.3795604407787323,0
148,0.00074,0.3755311369895935,0
149,0.000745,0.3868131935596466,0
150,0.00075,0.42307692766189575,0
151,0.000755,0.3731135427951813,0
152,0.00076,0.38520145416259766,0
